,Model,Source,Split,Dataset,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,num_nonzero_coefs,prot_length
644,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Ostermeier2014,5,0.5729359820239285,0.5246135081215242,0.6482952003526994,0.4168100805027583,0.6335164525950755,0.787113766175982,0.7785574597731839,0.664701624146861,122,286
645,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Ranganathan2015,1,0.654550366758454,0.4781723922490339,0.5868912236190548,0.4366215827570943,0.6003972641275712,0.7529586854770488,0.8230816146525743,0.6772117801537115,147,286
646,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Ranganathan2015,2,0.6712838772735641,0.4625080933887072,0.570889783744692,0.3969699661240999,0.6216780195756005,0.7895430136333124,0.8323688928185142,0.6569974983282948,169,286
647,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Ranganathan2015,3,0.6663894621747216,0.4774121200097533,0.5832847039125566,0.476824608998615,0.5554858065367884,0.6826546558623011,0.8361970990508897,0.6988739643286543,169,286
648,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Ranganathan2015,4,0.5536824398274272,0.5559233500979738,0.6696352843243919,0.4205016728654598,0.6160044498502063,0.7536797178333527,0.7713218713275284,0.6542705236351273,78,286
649,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Ranganathan2015,5,0.5968979133410941,0.524624870394868,0.6354665891684914,0.4768171651634023,0.5976004292959349,0.7168319095728555,0.7955371378194963,0.7053031702949866,103,286
650,ESM-2 650M,cellular,Site Split,MTH3_HAEAESTABILIZED_Tawfik2015,1,0.382909585381884,0.6632253709652157,0.791294417946391,0.3445748570606538,0.651499040091149,0.7808031549253552,0.6350574809738372,0.6027790692931214,49,331
651,ESM-2 650M,cellular,Site Split,MTH3_HAEAESTABILIZED_Tawfik2015,2,0.4309298037155711,0.623651541975491,0.7534538319513722,0.2532764610167408,0.7347135162303323,0.8656464511980434,0.674578634222393,0.511469082642213,64,331
652,ESM-2 650M,cellular,Site Split,MTH3_HAEAESTABILIZED_Tawfik2015,3,0.3965073334876897,0.6524141428429143,0.7782439264148808,0.2979816389796687,0.690552823833251,0.8296815071834397,0.6451136353415426,0.5579665432314574,52,331
653,ESM-2 650M,cellular,Site Split,MTH3_HAEAESTABILIZED_Tawfik2015,4,0.3904749954129139,0.648488124302765,0.7746213587971589,0.3762967513394385,0.6793342821742574,0.8132695521758818,0.6431764357466525,0.6161997380137242,65,331
654,ESM-2 650M,cellular,Site Split,MTH3_HAEAESTABILIZED_Tawfik2015,5,0.3921624319146937,0.6525238796568674,0.7821451319217599,0.2933544007731666,0.6995889342265744,0.8264399546869654,0.6414868667776843,0.5398837515999445,52,331
